,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
396,public,24 hours daily,,,2021-06-22,,ELEC,Public,121713,,,E,Walmart 5396 Albany,833-632-2778,2021-06-22T01:29:35Z,,GPS,44.627009,-123.049418,Albany,,,OR,1330 Goldfish Farm RD SE,97322,US,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",4.0,,,Electrify America,https://www.electrifyamerica.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['19'], 'posts': ['100060-01', '100060-02', '100060-03', '100060-04']}",
397,public,24 hours daily,,,2021-06-22,,ELEC,Public,121714,,,E,T and T Country Store,833-632-2778,2021-06-22T01:29:35Z,,GPS,44.351131,-117.268594,Huntington,,,OR,40 WASHINGTON STREET W.,97907,US,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",4.0,,,Electrify America,https://www.electrifyamerica.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['5'], 'posts': ['100074-01', '100074-02', '100074-03', '100074-04']}",
398,public,24 hours daily,,,2021-06-22,,ELEC,Public,121724,,,E,Walmart 1834 Grants Pass,833-632-2778,2021-06-22T01:29:35Z,,GPS,42.435787,-123.302141,Grants Pass,,,OR,135 NE Terry Ln,97526,US,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",4.0,,,Electrify America,https://www.electrifyamerica.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['22'], 'posts': ['100055-01', '100055-02', '100055-03', '100055-04']}",
399,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,122204,,,E,City of Independence - North Parking,888-998-2546,2021-06-21T22:55:12Z,,GPS,44.851535,-123.18366,Independence,"Chargers in separate parking lot 1/4 
mile North of City Hall Parking. Turn 
Right on C Street, turn right on 
Osprey. Located behind the Elks Lodge.
",,OR,555 South Main Street,97351,US,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['444095'], 'posts': ['502495', '502497']}",
400,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,122244,2019-03-01,P,E,Bandon Shopping Center - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,,200-8,43.1219,-124.3989,Bandon,,,OR,120 Michigan Ave. NE,97411,US,,,,,,,,,,,['TESLA'],8.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2452']},
401,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,122262,2019-03-01,P,E,Cousins' Country Inn - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,,200-9,45.6119,-121.2082,The Dalles,,,OR,2114 West 6th Street,97058,US,,,,,,,,,,,['TESLA'],5.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2464']},
402,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,122342,2019-03-01,P,E,Washington Square Mall - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,SHOPPING_MALL,200-9,45.4502,-122.7827,Portland,,,OR,9585 Southwest Washington Square Road,97223,US,,,,,,,,,,,['TESLA'],10.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['3352']},
403,public,24 hours daily,,,2020-11-03,,ELEC,Public,122518,2019-03-01,P,E,Estacada City Library - Tesla Destination,503-630-8273  877-798-3752,2021-03-11T23:22:17Z,,200-9,45.297128,-122.338407,Estacada,,,OR,825 NW Wade St,97023,US,,,,,,,,,,,"['J1772', 'TESLA']",,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['53618']},
404,public,24 hours daily; available with reservation only,CALL,,2020-11-03,,ELEC,Public - Call ahead,122519,2019-03-01,P,E,Old Parkdale Inn Bed and Breakfast - Tesla Destination,541-352-5551  877-798-3752,2021-03-11T23:22:17Z,,200-9,45.520021,-121.593274,Mt Hood,,,OR,4932 Baseline Dr,97041,US,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,{'station': ['70312']},
405,public,24 hours daily; for customer use only; see front desk for access,,,2020-11-03,,ELEC,Public,122520,2019-03-01,P,E,Itty Bitty Inn - Tesla Destination,541-756-6398  877-798-3752,2021-03-11T23:22:17Z,,200-9,43.413011,-124.224472,North Bend,,,OR,1504 Sherman Ave,97459,US,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['41658']},
406,public,24 hours daily; for customer use only; see front desk for access,,,2020-11-03,,ELEC,Public,122521,2019-03-01,P,E,Tolovana Inn - Tesla Destination,503-436-2211  877-798-3752,2021-03-11T23:22:17Z,,200-9,45.871824,-123.961237,Tolovana Park,,,OR,3400 S Hemlock St,97110,US,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['32005']},
407,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,122667,,,E,McDonald's on Farmington Rd,888-998-2546,2021-06-21T22:55:12Z,,GPS,45.479807,-122.858369,Aloha,,,OR,17555 SW Farmington Road,97007,US,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['445393'], 'posts': ['13807', '32027']}",
408,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,122759,,,E,Cornelius - City Hall,888-998-2546,2021-06-21T22:55:12Z,,GPS,45.521677,-123.054738,Cornelius,,,OR,213 North 14th Ave.,97113,US,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['439676'], 'posts': ['41014', '41201']}",
409,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,122869,,,E,Smart Park - 3rd & Alder,888-998-2546,2021-06-21T22:55:12Z,,GPS,45.519169,-122.675761,Portland,"Enter on 4th Ave between Alder and 
Morrison. Located on Level 3.
",,OR,607 SW 3rd Ave,97204,US,,,,,,,,,,,['J1772'],,,4.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['446742'], 'posts': ['477287', '477758', '478282', '540493']}",
410,public,24 hours daily,,,2021-06-22,,ELEC,Public,122883,,,E,Walmart 4176 Sherwood,833-632-2778,2021-06-22T01:29:35Z,,GPS,45.365252,-122.834388,Sherwood,,,OR,21320 Sw Langer Farms Pkwy,97140,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",3.0,,1.0,Electrify America,https://www.electrifyamerica.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['301'], 'posts': ['200121-01', '200121-02', '200121-03', '200121-50']}",
411,public,24 hours daily,,,2020-07-13,,ELEC,Public,123149,2019-04-01,P,E,Robal Road Village,866-816-7584,2021-03-11T23:22:17Z,SHOPPING_CENTER,GPS,44.103177,-121.297886,Bend,,,OR,20520 Roal Ln,97701,US,,,,,,,,,,,['J1772'],,,4.0,EV Connect,http://evconnect.com/,,,,,,,,,,,,,,,,,,Public,,,
412,public,24 hours daily,,,2021-06-07,,ELEC,Public,123150,2019-04-01,P,E,Kruse Woods Corporate Park,866-816-7584,2021-06-07T17:37:37Z,OFFICE_BLDG,GPS,45.4171421,-122.7317796,Lake Oswego,,,OR,5300 Meadows Dr,97035,US,,,,,,,,,,,['J1772'],,,3.0,EV Connect,http://evconnect.com/,,,,,,,,,,,,,,,,,,Public,,,
413,private,For employee use only,,,2021-04-08,,ELEC,Private,123276,2018-05-01,P,E,Nike - Coach K,,2021-04-08T20:32:57Z,OFFICE_BLDG,GPS,45.512116,-122.825486,Beaverton,,,OR,1 Bowerman Dr,97005,US,,,,,,,,,,,['J1772'],,,8.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
414,private,For employee use only,,,2021-04-08,,ELEC,Private,123277,2009-08-13,P,E,Nike - John McEnroe,,2021-04-08T20:32:57Z,OFFICE_BLDG,GPS,45.506674,-122.825979,Beaverton,,,OR,1 Bowerman Dr,97005,US,,,,,,,,,,,['NEMA520'],,2.0,,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
415,private,For employee use only,,,2021-04-08,,ELEC,Private,123279,2009-08-13,P,E,Nike - The Park,,2021-04-08T20:32:57Z,OFFICE_BLDG,GPS,45.511671,-122.834474,Beaverton,,,OR,1 Bowerman Dr,97005,US,,,,,,,,,,,['NEMA520'],,4.0,,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
416,private,For employee use only,,,2021-04-08,,ELEC,Private,123280,2021-02-05,P,E,Nike - Serena,,2021-04-08T20:32:57Z,OFFICE_BLDG,GPS,45.510876,-122.826059,Beaverton,,,OR,1 Bowerman Dr,97005,US,,,,,,,,,,,['J1772'],,,10.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
417,private,For employee use only,,,2021-04-08,,ELEC,Private,123282,2019-03-08,P,E,Nike - Talaria,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-9,45.513219,-122.838215,Beaverton,,,OR,15400 SW Koll Pkwy,97006,US,,,,,,,,,,,['J1772'],,,8.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
418,private,For employee use only,,,2021-04-08,,ELEC,Private,123283,2014-10-07,P,E,Nike - Windrunner,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-8,45.495039,-122.835414,Beaverton,,,OR,15405 SW Beaverton Creek Ct,97003,US,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
419,private,For employee use only,,,2021-04-08,,ELEC,Private,123284,2016-02-26,P,E,Nike - Blazer,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-9,45.545415,-122.884475,Hillsboro,,,OR,20004 NW Tanasbourne Dr,97124,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
420,private,For employee use only,,,2021-04-08,,ELEC,Private,123285,2016-01-27,P,E,Nike - Driving Force,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-9,45.53011,-122.887873,Hillsboro,,,OR,20420 NW Von Neumann Dr,97006,US,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
421,private,For employee use only,,,2021-04-08,,ELEC,Private,123286,2018-10-26,P,E,Nike - Tiempo,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-9,45.497872,-122.836737,Beaverton,,,OR,3005 SW 154th Terrace,97006,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
422,private,For employee use only,,,2021-04-08,,ELEC,Private,123287,2015-10-15,P,E,Nike - Mercurial SW,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-8,45.498513,-122.833766,Beaverton,,,OR,3101 SW 153rd Dr,97006,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
423,private,For employee use only,,,2021-04-08,,ELEC,Private,123288,2017-12-06,P,E,Nike - Total 90,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-8,45.497875,-122.83386,Beaverton,,,OR,3203 SW 153rd Dr,97006,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
424,private,For employee use only,,,2021-04-08,,ELEC,Private,123289,2015-10-15,P,E,Nike - Air Force,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-8,45.497875,-122.83386,Beaverton,,,OR,3203 SW 153rd Dr,97003,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,WASTEWATER,,,,,,,,,,,,,,,Privé,,,
425,private,For employee use only,,,2021-04-08,,ELEC,Private,123290,2017-03-24,P,E,Nike - Zoom Flight,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-8,45.543685,-122.891197,Hillsboro,,,OR,3300-3342 NW Aloclek Dr,97124,US,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
426,private,For employee use only,,,2021-04-08,,ELEC,Private,123291,2016-02-26,P,E,Nike - Quantum Force,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-9,45.545214,-122.894591,Hillsboro,,,OR,3445 NW 211th Terrace,97124,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,WASTEWATER,,,,,,,,,,,,,,,Privé,,,
427,private,For employee use only,,,2021-04-08,,ELEC,Private,123292,2015-11-30,P,E,Nike - APCC,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-9,45.511089,-122.83681,Beaverton,,,OR,1255 SW Burlington Dr,97006,US,,,,,,,,,,,['J1772'],,,5.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
428,private,For employee use only,,,2021-04-08,,ELEC,Private,123293,2017-09-12,P,E,Nike - Terman,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-9,45.496228,-122.816365,Beaverton,,,OR,13630 SW Terman Rd,97005,US,,,,,,,,,,,['J1772'],,,12.0,Non-Networked,,,,WASTEWATER,,,,,,,,,,,,,,,Privé,,,
429,private,For employee use only,,,2021-04-08,,ELEC,Private,123294,2017-09-12,P,E,Nike - Hocken,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-9,45.496228,-122.816365,Beaverton,,,OR,13630 SW Terman Rd,97005,US,,,,,,,,,,,['J1772'],,,12.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
430,private,For employee use only,,,2021-04-08,,ELEC,Private,123295,2018-12-11,P,E,Nike - Air Zoom Alpha,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-8,45.493086,-122.820105,Beaverton,,,OR,13955 Millikan Way,97005,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
431,private,For employee use only,,,2021-04-08,,ELEC,Private,123296,2017-12-21,P,E,Nike - SebCoe Garage,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-9,45.511653,-122.828867,Beaverton,,,OR,14570 SW Walker Rd,97006,US,,,,,,,,,,,['J1772'],,,3.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
432,private,For employee use only,,,2021-04-08,,ELEC,Private,123297,2017-12-05,P,E,Nike - NY Garage,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-8,45.514149,-122.832771,Beaverton,,,OR,15047-15087 SW Koll Pkwy,97006,US,,,,,,,,,,,['J1772'],,,12.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
433,private,For employee use only,,,2021-04-08,,ELEC,Private,123298,2016-05-05,P,E,Nike - Challenge Ct,,2021-04-08T20:32:57Z,OFFICE_BLDG,200-8,45.496478,-122.835197,Beaverton,,,OR,15370 SW Millikan Way,97003,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,WIND,,,,,,,,,,,,,,,Privé,,,
434,private,For employee use only,,,2021-06-07,,ELEC,Private,123304,2019-05-01,P,E,NWEA,,2021-06-07T17:37:37Z,OFFICE_BLDG,200-9,45.525778,-122.671957,Portland,,,OR,121 NW Everett St,97209,US,,,,,,,,,,,['J1772'],,,3.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
435,private,Permit required,,,2021-06-07,,ELEC,Private,123368,2019-05-01,P,E,University of Oregon - Streisinger Hall,,2021-06-07T17:37:37Z,COLLEGE_CAMPUS,GPS,44.046472,-123.07198,Eugene,Franklin and Onxy,,OR,1227 University of Oregon,97405,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
436,private,,,,2021-06-07,,ELEC,Private,123406,2019-05-01,P,E,Atomic Auto,,2021-06-07T17:37:37Z,AUTO_REPAIR,200-9,45.527242,-122.55761,Portland,,,OR,610 NE 102nd Ave,97220,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
437,public,24 hours daily,,,2021-06-22,,ELEC,Public,123709,,,E,"Walmart 4221 - Cornelius, OR",833-632-2778,2021-06-22T01:29:35Z,,GPS,45.521506,-123.068046,Cornelius,,,OR,220 N Adair St.,97113,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",3.0,,1.0,Electrify America,https://www.electrifyamerica.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['392'], 'posts': ['200123-01', '200123-02', '200123-03', '200123-50']}",
438,public,24 hours daily,,,2021-06-22,,ELEC,Public,123768,,,E,"Walmart 1876 - Hood River, OR",833-632-2778,2021-06-22T01:29:35Z,,GPS,45.711807,-121.539908,Hood River,,,OR,2700 Wasco St.,97031,US,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",4.0,,,Electrify America,https://www.electrifyamerica.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['35'], 'posts': ['100068-01', '100068-02', '100068-03', '100068-04']}",
439,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,124693,,,E,Salem - West Library,888-998-2546,2021-06-21T22:55:12Z,,GPS,44.950668,-123.048647,Salem,,,OR,395 Glen Creek Rd NW,97304,US,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['454000'], 'posts': ['12836', '13355']}",
440,public,MON: 9:00am-5:00pm | TUE: 9:00am-5:00pm | WED: 9:00am-5:00pm | THU: 9:00am-5:00pm | FRI: 9:00am-5:00pm | SAT: 9:00am-5:00pm | SUN: 9:00am-5:00pm,,,2021-06-21,,ELEC,Public,125761,,,E,High Desert Museum,888-998-2546,2021-06-21T22:55:12Z,,GPS,43.966035,-121.343215,Bend,,,OR,59800 S Highway 97,97702,US,,,,,,,,,,,['J1772'],,,6.0,Blink Network,http://www.blinkcharging.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'station': ['446332'], 'posts': ['421154', '421156', '421159', '421169', '421173', '421189']}",
441,public,MON: 8:00am-5:00pm | TUE: 8:00am-5:00pm | WED: 8:00am-5:00pm | THU: 8:00am-5:00pm | FRI: 8:00am-5:00pm,,,2021-06-21,,ELEC,Public,125991,,,E,Joseph Hughes Construction,888-998-2546,2021-06-21T22:55:12Z,,GPS,45.445281,-122.733108,Portland,,,OR,11125 SW Barbur Blvd,97219,US,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['455722'], 'posts': ['44655']}",
442,public,24 hours daily,,,2021-06-22,,ELEC,Public,126266,,,E,CCRider Transit Center,855-900-7584,2021-06-22T01:27:16Z,,200-8,46.089703,-122.937633,Rainier,,,OR,205 West B Street,97048,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",1.0,,2.0,Greenlots,http://greenlots.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1838'], 'posts': ['52918*1', '52918*2', '53087']}",
443,public,24 hours daily,,,2021-06-22,,ELEC,Public,126267,,,E,Clatskanie PUD Office,855-900-7584,2021-06-22T01:27:16Z,,200-9,46.10135,-123.201804,Clatskanie,,,OR,495 East Columbia River Hwy,97016,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",1.0,,2.0,Greenlots,http://greenlots.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1839'], 'posts': ['52919*1', '52919*2', '53088']}",
444,public,6am-12am daily,,,2021-05-06,,ELEC,Public,137157,2021-04-02,P,E,Tanasbourne Town Center - Barnes & Noble,888-264-2208,2021-05-06T13:19:19Z,SHOPPING_CENTER,GPS,45.537316,-122.864878,Beaverton,,,OR,18300 NW Evergreen Pkwy,97006,US,,,,,,,,,,,['J1772'],,,2.0,Volta,https://voltacharging.com/,,Free,,,,,,,,,,,,,,,,Public,,,
445,public,6am-12am daily,,,2021-05-06,,ELEC,Public,137158,2021-04-02,P,E,Tanasbourne Town Center - Pet Co,877-225-5337  888-264-2208,2021-05-06T13:19:19Z,SHOPPING_CENTER,GPS,45.536462,-122.865026,Beaverton,,,OR,18200 NW Evergreen Pkwy,97006,US,,,,,,,,,,,['J1772'],,,2.0,Volta,https://voltacharging.com/,,Free,,,,,,,,,,,,,,,,Public,,,
446,public,6am-12am daily,,,2021-04-08,,ELEC,Public,137159,2019-07-19,P,E,Nyberg Rivers - New Seasons,888-264-2208,2021-04-08T20:32:57Z,SHOPPING_CENTER,GPS,45.383666,-122.756233,Tualatin,,,OR,7663 SW Nyberg St,97062,US,,,,,,,,,,,['J1772'],,,2.0,Volta,https://voltacharging.com/,,Free,,,,,,,,,,,,,,,,Public,,,
447,public,6am-12am daily,,,2021-04-08,,ELEC,Public,137160,2019-07-19,P,E,Nyberg Woods - Jamba Juice,503-968-8940  888-264-2208,2021-04-08T20:32:57Z,SHOPPING_CENTER,GPS,45.383292,-122.749257,Tualatin,,,OR,7061 SW Nyberg St,97062,US,,,,,,,,,,,['J1772'],,,2.0,Volta,https://voltacharging.com/,,Free,,,,,,,,,,,,,,,,Public,,,
448,public,24 hours daily,,,2020-05-06,,ELEC,Public,137163,2019-07-19,P,E,Stave & Stone Winery,541-946-3750,2021-03-11T23:22:17Z,BREWERY_DISTILLERY_WINERY,GPS,45.612052,-121.548425,Hood River,,,OR,3827 Fletcher Dr,97031,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
449,public,24 hours daily; for customer use only,,,2020-11-03,,ELEC,Public,137164,2019-07-19,P,E,Stave & Stone Winery - Tesla Destination,541-946-3750  877-798-3752,2021-03-11T23:22:17Z,BREWERY_DISTILLERY_WINERY,GPS,45.612052,-121.548425,Hood River,,,OR,3827 Fletcher Dr,97031,US,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['57387']},
450,public,24 hours daily,,,2021-06-22,,ELEC,Public,143409,,,E,HOTEL 1 7 F HOTEL,888-758-4389,2021-06-22T00:42:47Z,,GPS,42.937875,-123.283685,Canyonville,,,OR,146 Chief Miwaleta Ln,97417,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1814801'], 'posts': ['2404081', '2404091']}",
451,public,24 hours daily,,,2021-06-22,,ELEC,Public,143468,,,E,LMHD DCFAST HOG,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.383366,-122.58062,Gladstone,,,OR,870 E Berkeley St,97027,US,,,,,,,,,,,['J1772COMBO'],1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1802731'], 'posts': ['2114531']}",
452,public,24 hours daily,,,2021-01-14,,ELEC,Public,143860,2019-08-19,P,E,Kohl’s - Hillsboro,503-640-5083,2021-03-11T23:22:17Z,SHOPPING_CENTER,GPS,45.536137,-122.9014,Hillsboro,,,OR,7360 NE Butler St,97124,US,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,,,,,,,,,,,,,,,,,Public,,,
453,public,24 hours daily,,,2021-01-14,,ELEC,Public,143861,2019-08-19,P,E,Kohl's - Beaverton,503-350-0407,2021-03-11T23:22:17Z,SHOPPING_CENTER,GPS,45.492637,-122.789614,Beaverton,,,OR,11055 SW Canyon Rd,97005,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,,,,,,,,,Public,,,
454,public,24 hours daily,,,2021-06-22,,ELEC,Public,143950,,,E,DEER ISLAND CRPUD DC FAST2,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.924736,-122.836766,Deer Island,,,OR,64001 Columbia River Hwy,97054,US,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL4536061'], 'posts': ['7317151']}",
455,public,24 hours daily,,,2020-09-03,,ELEC,Public,143988,2019-08-01,P,E,Goodog Bakery,541-643-3306,2021-03-11T23:22:17Z,RESTAURANT,200-8,43.025929,-123.290579,Myrtle Creek,,,OR,100 3rd Ave SW,97457,US,,,,,,,,,,,['NEMA1450'],,1.0,,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
456,public,24 hours daily,,,2021-06-22,,ELEC,Public,144214,,,E,PARADISE H-D DCFAST HOG,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.442818,-122.78139,Tigard,,,OR,10770 SW Cascade Ave,97223,US,,,,,,,,,,,['J1772COMBO'],1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1893161'], 'posts': ['2232691']}",
457,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,144961,,,E,McDonald's on Cedar Hills Blvd #2160,888-998-2546,2021-06-21T22:55:12Z,,GPS,45.493975,-122.810759,Beaverton,,,OR,3519 SW Cedar Hills Boulevard,97005,US,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['378809'], 'posts': ['478229', '486545']}",
